state,marijuana,alcohol,recreational
Alabama,14.74,1.99,No
Alaska,24.97,2.85,Yes
Arizona,16.01,2.25,Yes
Arkansas,13.53,1.78,No
California,20.06,2.49,Yes
Colorado,26.32,2.88,Yes
Connecticut,19.05,2.4,Yes
Delaware,18.18,3.52,No
Florida,14.8,2.61,No
Georgia,15,1.9,No
Hawaii,15.77,2.66,No
Idaho,14.03,2.94,No
Illinois,16.38,2.32,Yes
Indiana,16.61,2.15,No
Iowa,12.43,2.4,No
Kansas,14.64,1.92,No
Kentucky,14.87,1.95,No
Louisiana,12.15,2.55,No
Maine,24.77,2.85,Yes
Maryland,16.07,2.08,No
Massachusetts,22.16,2.55,Yes
Michigan,20.8,2.36,Yes
Minnesota,16.6,2.79,No
Mississippi,12.09,2.17,No
Missouri,14.91,2.52,No
Montana,20.06,3.1,Yes
Nebraska,14.35,2.16,No
Nevada,23.94,3.42,Yes
New Hampshire,21.43,4.67,No
New Jersey,13.73,2.36,Yes
New Mexico,20.48,2.26,Yes
New York,17.33,2.21,Yes
North Carolina,15.08,2.13,No
North Dakota,12.64,3.16,No
Ohio,15.84,2.03,No
Oklahoma,15.37,1.85,No
Oregon,26.99,2.74,Yes
Pennsylvania,16.1,2.34,No
Rhode Island,23.31,2.62,No
South Carolina,14.46,2.16,No
South Dakota,11.13,2.87,No
Tennessee,13.68,2.14,No
Texas,12.19,2.26,No
Utah,12.36,1.35,No
Vermont,27.04,3.06,Yes
Virginia,12.23,2.13,Yes
Washington,25.58,2.22,Yes
West Virginia,14.11,1.74,No
Wisconsin,14.62,2.93,No
Wyoming,12.77,2.78,No