cement,water,superplasticizer,coarse,fine,strength
167,185,3.4,898,636,23.89
310,168,6,914,651,33.69
333,167,7.9,996,652,47.28
159,201,7,848,669,30.88
153,178,5.4,1002,689,25.56
237,207,6,853,695,28.63
160.2,203.2,11.3,828.7,709.7,35.31
160,203,11,829,710,32.84
261.9,195.4,5,895.2,732.6,33.72
162,179,7,838,741,33.76
266.2,177.9,10.4,909.7,744.5,39.42
167.4,175.5,7.8,1006.3,746.6,31.81
173.8,172.3,2.4,1007.2,746.6,15.82
173.8,172.3,9.7,1007.2,746.6,37.81
178,179.9,3.6,1007.3,746.8,34.24
178,179.9,3.6,1007.3,746.8,39.16
178,179.9,13.1,1007.3,746.8,49.99
324,168,8.9,822,750,72.1
260.9,200.6,8.6,864.5,761.5,32.4
259.9,170.6,10.4,935.7,762.9,49.77
136,172,10,923,764,29.07
275,162,10.4,830,765,76.24
167,164,7.9,1007.3,770.1,56.81
144,178,7,941,774,26.14
214.9,155.6,9.6,1014.3,780.6,52.2
214.9,155.6,9.6,1014.3,780.6,53.96
214.9,155.6,9.6,1014.3,780.6,56.63
277.2,160.7,11.2,1061.7,782.5,48.29
213.7,181.7,7.7,1065.8,785.4,50.77
213.7,181.7,10.8,1065.8,785.4,53.9
213.8,181.7,6.7,1066,785.5,40.23
264.5,195.5,5.9,832.6,790.4,41.54
218.2,140.8,11.9,1075.7,792.7,63.53
173.5,164.8,6.5,1006.2,793.5,38.2
250,159,9.5,860,800,67.87
284,179,5.5,842,801,44.52
202,206,1.7,942,801,21.97
359,154,14.9,942,801,66.78
252,194,8,835,821,33.4
252.1,193.8,8.3,835.5,821.4,33.4
146.5,201.9,8.8,860,829.5,45.1
387,157,13.9,938,845,45.9
387,157,14.3,938,845,56.34
160,182,6.4,824,879,39.4