length,weight
5.64,7.384
5.46,9.272
8.28,25.144
7.38,20.584
6.3,11.472
9,31.008
5.1,6.032
6.96,14.88
6.54,15.68
6.72,13.944
7.32,21.512
6.96,14.824
6.18,8.496
8.22,30.16
5.7,6.968
5.4,8.104
7.38,21.44
5.58,6.424
5.64,7.64
7.14,17.712
7.86,24.448
5.94,10.072
4.68,4.888
7.68,27.312
6.9,13.552
7.68,21.096
8.04,22.424
6.24,10.56
7.8,19.808
4.32,3.184
5.76,7.904
4.98,4.808
7.8,26.016
6.9,14.352
6.9,13.952
5.1,4.816
7.74,21.12
7.02,11.128
8.4,28.92
7.32,17.896
7.62,22.64
8.4,24.896
6.12,10.504
8.34,29.416
5.34,6.992
6.06,10.448
6.12,9.288
7.2,16.424
6.78,11.432
8.52,25.616
7.8,22.76
6.9,15.76
7.5,21.28
8.1,22.432
7.86,18.728
6.6,12.4
7.32,19.424
5.52,7.856
5.28,6.064
5.64,10.168
5.16,5.44
5.7,7.84
7.32,16.424
6.12,9.584
6.18,10.336
4.98,5.768
6.24,8.872
7.2,16.944
8.58,28.64
7.26,17.88
6.42,13.088
7.44,17.6
7.44,14.784
4.98,4.976
6.42,13.984
7.74,19.864
6.18,12.304
7.38,19.2
8.04,27.312
5.94,11.048
6.24,8.552
3.78,2.376
6.6,11.392
7.02,15.712
7.98,23.088
6.72,13.144
5.82,7.968
6.3,9.616
6.18,9.208
6.24,12.656
5.16,6.144
5.28,6.712
6,8.256
6.96,16.552
6.72,13.392
5.52,7.352
6.96,13.504
4.02,2.976