PRICE,CRIME,ZONE,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,BLACK,LSTAT
20,0.09744,0,5.96,0.499,5.841,61.4,3.3779,5,279,19.2,37.756,11.41
22.2,0.1029,30,4.93,0.428,6.358,52.9,7.0355,6,300,16.6,37.275,11.22
10.4,25.9406,0,18.1,0.679,5.304,89.1,1.6475,24,666,20.2,12.736,26.64
28,0.04113,25,4.86,0.426,6.727,33.5,5.4007,4,281,19,39.69,5.29
28.7,0.07013,0,13.89,0.55,6.642,85.1,3.4211,5,276,16.4,39.278,9.69
32.7,0.01301,35,1.52,0.442,7.241,49.3,7.0379,1,284,15.5,39.474,5.49
21.7,0.40771,0,6.2,0.507,6.164,91.3,3.048,8,307,17.4,39.524,21.46
15.1,6.96215,0,18.1,0.7,5.713,97,1.9265,24,666,20.2,39.443,17.11
13.8,18.4982,0,18.1,0.668,4.138,100,1.137,24,666,20.2,39.69,37.97
14.4,0.25387,0,6.91,0.448,5.399,95.3,5.87,3,233,17.9,39.69,30.81
21,1.00245,0,8.14,0.538,6.674,87.3,4.239,4,307,21,38.023,11.98
20.3,0.3494,0,9.9,0.544,5.972,76.7,3.1025,4,304,18.4,39.624,9.97
27.9,11.9511,0,18.1,0.659,5.608,100,1.2852,24,666,20.2,33.209,12.13
17.6,0.20608,22,5.86,0.431,5.593,76.5,7.9549,7,330,19.1,37.249,12.5
14.1,9.32909,0,18.1,0.713,6.185,98.7,2.2616,24,666,20.2,39.69,18.13
20.1,13.0751,0,18.1,0.58,5.713,56.7,2.8237,24,666,20.2,39.69,14.76
23.9,0.08265,0,13.92,0.437,6.127,18.4,5.5027,4,289,16,39.69,8.58
15.6,0.97617,0,21.89,0.624,5.757,98.4,2.346,4,437,21.2,26.276,17.31
26.2,0.19073,22,5.86,0.431,6.718,17.5,7.8265,7,330,19.1,39.374,6.56
22,0.03932,0,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,39.355,8.2
13.8,8.05579,0,18.1,0.584,5.427,95.4,2.4298,24,666,20.2,35.258,18.14
10.2,12.2472,0,18.1,0.584,5.837,59.7,1.9976,24,666,20.2,2.465,15.69
20.5,0.19657,22,5.86,0.431,6.226,79.2,8.0555,7,330,19.1,37.614,10.15
26.6,0.12744,0,6.91,0.448,6.77,2.9,5.7209,3,233,17.9,38.541,4.84
14.6,10.233,0,18.1,0.614,6.185,96.7,2.1705,24,666,20.2,37.97,18.03
23.9,0.05059,0,4.49,0.449,6.389,48,4.7794,3,247,18.5,39.69,9.62
12.1,9.59571,0,18.1,0.693,6.404,100,1.639,24,666,20.2,37.611,20.31
11,7.36711,0,18.1,0.679,6.193,78.1,1.9356,24,666,20.2,9.673,21.52
8.4,11.8123,0,18.1,0.718,6.824,76.5,1.794,24,666,20.2,4.845,22.74
19.3,0.17142,0,6.91,0.448,5.682,33.8,5.1004,3,233,17.9,39.69,10.21
31.1,0.02187,60,2.93,0.401,6.8,9.9,6.2196,1,265,15.6,39.337,5.03
13.1,23.6482,0,18.1,0.671,6.38,96.2,1.3861,24,666,20.2,39.69,23.69
16.1,5.09017,0,18.1,0.713,6.297,91.8,2.3682,24,666,20.2,38.509,17.27
5,67.9208,0,18.1,0.693,5.683,100,1.4254,24,666,20.2,38.497,22.98
28.6,0.12932,0,13.92,0.437,6.678,31.1,5.9604,4,289,16,39.69,6.27
29,0.05561,70,2.24,0.4,7.041,10,7.8278,5,358,14.8,37.158,4.74
13.6,1.25179,0,8.14,0.538,5.57,98.1,3.7979,4,307,21,37.657,21.02
16.8,0.22438,0,9.69,0.585,6.027,79.7,2.4982,6,391,19.2,39.69,14.33
14.3,0.88125,0,21.89,0.624,5.637,94.7,1.9799,4,437,21.2,39.69,18.34
20.5,0.09299,0,25.65,0.581,5.961,92.9,2.0869,2,188,19.1,37.809,17.93
24.8,0.04297,52.5,5.32,0.405,6.565,22.9,7.3172,6,293,16.6,37.172,9.51
14.1,10.0623,0,18.1,0.584,6.833,94.3,2.0882,24,666,20.2,8.133,19.69
21.2,3.67367,0,18.1,0.583,6.312,51.9,3.9917,24,666,20.2,38.862,10.58
26.4,0.09266,34,6.09,0.433,6.495,18.4,5.4917,7,329,16.1,38.361,8.67
22.6,4.26131,0,18.1,0.77,6.112,81.3,2.5091,24,666,20.2,39.074,12.67
29.4,0.06664,0,4.05,0.51,6.546,33.1,3.1323,5,296,16.6,39.096,5.33
20.1,0.10612,30,4.93,0.428,6.095,65.1,6.3361,6,300,16.6,39.462,12.4
23.1,0.18159,0,7.38,0.493,6.376,54.3,4.5404,5,287,19.6,39.69,6.87
21.7,0.10793,0,8.56,0.52,6.195,54.4,2.7778,5,384,20.9,39.349,13
7.2,14.2362,0,18.1,0.693,6.343,100,1.5741,24,666,20.2,39.69,20.32
18.9,0.11747,12.5,7.87,0.524,6.009,82.9,6.2267,5,311,15.2,39.69,13.27
50,0.01501,90,1.21,0.401,7.923,24.8,5.885,1,198,13.6,39.552,3.16
26.6,0.05735,0,4.49,0.449,6.63,56.1,4.4377,3,247,18.5,39.23,6.53
23.4,0.04981,21,5.64,0.439,5.998,21.4,6.8147,4,243,16.8,39.69,8.43
37.6,0.38214,0,6.2,0.504,8.04,86.5,3.2157,8,307,17.4,38.738,3.13
20,0.43571,0,10.59,0.489,5.344,100,3.875,4,277,18.6,39.69,23.09
16.6,0.22927,0,6.91,0.448,6.03,85.5,5.6894,3,233,17.9,39.274,18.8
33,0.09068,45,3.44,0.437,6.951,21.5,6.4798,5,398,15.2,37.768,5.1
20.1,0.01965,80,1.76,0.385,6.23,31.5,9.0892,1,241,18.2,34.16,12.93
22.8,0.10084,0,10.01,0.547,6.715,81.6,2.6775,6,432,17.8,39.559,10.16
42.3,0.02177,82.5,2.03,0.415,7.61,15.7,6.27,2,348,14.7,39.538,3.11
15.4,9.96654,0,18.1,0.74,6.485,100,1.9784,24,666,20.2,38.673,18.85
33.1,0.06127,40,6.41,0.447,6.826,27.6,4.8628,4,254,17.6,39.345,4.16
21.5,1.6566,0,19.58,0.871,6.122,97.3,1.618,5,403,14.7,37.28,14.1
19.9,3.1636,0,18.1,0.655,5.759,48.2,3.0665,24,666,20.2,33.44,14.13
38.7,0.12083,0,2.89,0.445,8.069,76,3.4952,2,276,18,39.69,4.21
15.6,0.75026,0,8.14,0.538,5.924,94.1,4.3996,4,307,21,39.433,16.3
23,5.82401,0,18.1,0.532,6.242,64.7,3.4242,24,666,20.2,39.69,10.74
50,0.61154,20,3.97,0.647,8.704,86.9,1.801,5,264,13,38.97,5.12
23.8,2.3004,0,19.58,0.605,6.319,96.1,2.1,5,403,14.7,29.709,11.1
23.3,1.42502,0,19.58,0.871,6.51,100,1.7659,5,403,14.7,36.431,7.39
26.5,0.11432,0,8.56,0.52,6.781,71.3,2.8561,5,384,20.9,39.558,7.67
15.4,2.73397,0,19.58,0.871,5.597,94.9,1.5257,5,403,14.7,35.185,21.45
19.4,0.04379,80,3.37,0.398,5.787,31.1,6.6115,4,337,16.1,39.69,10.24
22,0.01096,55,2.25,0.389,6.453,31.9,7.3073,1,300,15.3,39.472,8.23
17.2,7.40389,0,18.1,0.597,5.617,97.9,1.4547,24,666,20.2,31.464,26.4
21.9,0.04819,80,3.64,0.392,6.108,32,9.2203,1,315,16.4,39.289,6.57
31.2,0.03049,55,3.78,0.484,6.874,28.1,6.4654,5,370,17.6,38.797,4.61
18,0.32543,0,21.89,0.624,6.431,98.8,1.8125,4,437,21.2,39.69,15.39
14.9,6.28807,0,18.1,0.74,6.341,96.4,2.072,24,666,20.2,31.801,17.79
20.9,0.12816,12.5,6.07,0.409,5.885,33,6.498,4,345,18.9,39.69,8.79
22.2,0.05083,0,5.19,0.515,6.316,38.1,6.4584,5,224,20.2,38.971,5.68
24.2,0.17505,0,5.96,0.499,5.966,30.2,3.8473,5,279,19.2,39.343,10.13
34.7,0.02729,0,7.07,0.469,7.185,61.1,4.9671,2,242,17.8,39.283,4.03
18.3,0.17134,0,10.01,0.547,5.928,88.2,2.4631,6,432,17.8,34.491,15.76
29.1,0.01439,60,2.93,0.401,6.604,18.8,6.2196,1,265,15.6,37.67,4.38
22.5,0.06466,70,2.24,0.4,6.345,20.1,7.8278,5,358,14.8,36.824,4.97
22.1,0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,5,311,15.2,39.69,19.15
18.9,0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,5,311,15.2,38.671,17.1
30.7,0.7857,20,3.97,0.647,7.014,84.6,2.1329,5,264,13,38.407,14.79