date,time,price
1/4/21,0,17.25
1/5/21,1,17.37
1/6/21,2,18.36
1/7/21,3,18.08
1/8/21,4,17.69
1/11/21,5,19.94
1/12/21,6,19.95
1/13/21,7,31.4
1/14/21,8,39.91
1/15/21,9,35.5
1/19/21,10,39.36
1/20/21,11,39.12
1/21/21,12,43.03
1/22/21,13,65.01
1/25/21,14,76.79
1/26/21,15,147.98
1/27/21,16,347.51
1/28/21,17,193.6
1/29/21,18,325
2/1/21,19,225
2/2/21,20,90
2/3/21,21,92.41
2/4/21,22,53.5
2/5/21,23,63.77
2/8/21,24,60
2/9/21,25,50.31
2/10/21,26,51.2
2/11/21,27,51.1
2/12/21,28,52.4
2/16/21,29,49.51
2/17/21,30,45.94
2/18/21,31,40.69
2/19/21,32,40.59
2/22/21,33,46
2/23/21,34,44.97
2/24/21,35,91.71
2/25/21,36,108.73
2/26/21,37,101.74
3/1/21,38,120.4
3/2/21,39,118.18
3/3/21,40,124.18
3/4/21,41,132.35
3/5/21,42,137.74
3/8/21,43,194.5
3/9/21,44,246.9
3/10/21,45,265
3/11/21,46,260
3/12/21,47,264.5
3/15/21,48,220.14
3/16/21,49,208.17
3/17/21,50,209.81
3/18/21,51,201.75
3/19/21,52,200.27
3/22/21,53,194.49
3/23/21,54,181.75
3/24/21,55,120.34
3/25/21,56,183.75
3/26/21,57,181
3/29/21,58,181.3
3/30/21,59,194.46
3/31/21,60,189.82
4/1/21,61,191.45
4/5/21,62,186.95
4/6/21,63,184.5
4/7/21,64,177.97
4/8/21,65,170.26
4/9/21,66,158.36
4/12/21,67,141.09
4/13/21,68,140.99
4/14/21,69,166.53
4/15/21,70,156.44
4/16/21,71,154.69
4/19/21,72,164.37
4/20/21,73,158.53
4/21/21,74,158.51
4/22/21,75,151.17
4/23/21,76,151.18
4/26/21,77,168.93
4/27/21,78,177.77
4/28/21,79,178.58
4/29/21,80,176.19
4/30/21,81,173.59
5/3/21,82,162.2
5/4/21,83,160.73
5/5/21,84,159.48
5/6/21,85,161.01
5/7/21,86,161.11
5/10/21,87,143.22
5/11/21,88,146.92
5/12/21,89,144.79
5/13/21,90,164.5
5/14/21,91,159.92
5/17/21,92,180.6
5/18/21,93,180.67
5/19/21,94,168.83
5/20/21,95,170.49
5/21/21,96,176.79
5/24/21,97,180.01
5/25/21,98,209.43
5/26/21,99,242.56
5/27/21,100,254.13
5/28/21,101,222
6/1/21,102,249.02
6/2/21,103,282.24
6/3/21,104,258.18
6/4/21,105,248.36
6/7/21,106,280.01
6/8/21,107,300
6/9/21,108,302.56
6/10/21,109,220.39
6/11/21,110,233.34
6/14/21,111,229.44
6/15/21,112,222.5
6/16/21,113,222.97
6/17/21,114,223.59
6/18/21,115,213.82
6/21/21,116,200.37
6/22/21,117,220.4
6/23/21,118,219.34
6/24/21,119,212.31
6/25/21,120,209.51
6/28/21,121,213.25
6/29/21,122,210.88
6/30/21,123,214.14
7/1/21,124,204.36
7/2/21,125,202.83
7/6/21,126,199.56
7/7/21,127,190.66
7/8/21,128,191.38
7/9/21,129,191.23
7/12/21,130,189.25
7/13/21,131,180.06
7/14/21,132,167.62
7/15/21,133,166.82
7/16/21,134,169.04
7/19/21,135,173.49
7/20/21,136,191.18
7/21/21,137,185.81
7/22/21,138,178.85
7/23/21,139,180.36
7/26/21,140,183.94
7/27/21,141,178.54
7/28/21,142,169.12
7/29/21,143,164.86
7/30/21,144,161.12
8/2/21,145,157.65
8/3/21,146,152.75
8/4/21,147,146.8
8/5/21,148,153.44
8/6/21,149,151.77
8/9/21,150,161.13
8/10/21,151,159.05
8/11/21,152,158.78
8/12/21,153,162.35
8/13/21,154,162.52
8/16/21,155,163.93
8/17/21,156,163.55
8/18/21,157,157.05
8/19/21,158,152.9
8/20/21,159,159.3
8/23/21,160,164.89
8/24/21,161,210.29
8/25/21,162,199.65
8/26/21,163,205.22
8/27/21,164,204.95
8/30/21,165,209.2
8/31/21,166,218.24
9/1/21,167,212.97
9/2/21,168,213.52
9/3/21,169,202.75
9/7/21,170,199
9/8/21,171,198.8
9/9/21,172,199.18
9/10/21,173,190.41
9/13/21,174,203.4
9/14/21,175,199.24
9/15/21,176,204.52
9/16/21,177,206.37
9/17/21,178,204.97
9/20/21,179,192.2
9/21/21,180,189.95
9/22/21,181,190.14
9/23/21,182,191.24
9/24/21,183,185.16
9/27/21,184,189.48
9/28/21,185,178.6
9/29/21,186,175.92
9/30/21,187,175.47
10/1/21,188,176.91
10/4/21,189,171.36
10/5/21,190,172.18
10/6/21,191,171.07
10/7/21,192,172.12
10/8/21,193,172.68
10/11/21,194,178.1
10/12/21,195,175.82
10/13/21,196,184.06
10/14/21,197,183.83
10/15/21,198,183.28
10/18/21,199,186.02
10/19/21,200,186.79
10/20/21,201,184.52
10/21/21,202,181.71
10/22/21,203,169.8
10/25/21,204,173.97
10/26/21,205,177.84
10/27/21,206,173.51
10/28/21,207,182.85
10/29/21,208,183.51
11/1/21,209,200.09
11/2/21,210,206.99
11/3/21,211,218.33
11/4/21,212,217.84
11/5/21,213,213.25
11/8/21,214,218.64
11/9/21,215,206.6
11/10/21,216,199.19
11/11/21,217,204.32
11/12/21,218,202.1
11/15/21,219,209.14
11/16/21,220,207.18
11/17/21,221,210
11/18/21,222,210.12
11/19/21,223,228.8
11/22/21,224,247.55
11/23/21,225,213.9
11/24/21,226,211.78
11/26/21,227,199.72
11/29/21,228,202.01
11/30/21,229,196.21
12/1/21,230,179.84
12/2/21,231,181.56
12/3/21,232,172.39
12/6/21,233,167.12
12/7/21,234,177.81
12/8/21,235,173.65
12/9/21,236,155.76
12/10/21,237,159.01
12/13/21,238,136.88
12/14/21,239,147.69
12/15/21,240,148.59
12/16/21,241,144.59
12/17/21,242,155.64
12/20/21,243,157.14
12/21/21,244,158.12
12/22/21,245,154
12/23/21,246,152.14
12/27/21,247,148.31
12/28/21,248,146.46
12/29/21,249,153.93
12/30/21,250,155.33
12/31/21,251,148.39
1/3/22,252,152.84
1/4/22,253,148.91
1/5/22,254,129.37
1/6/22,255,131.03
1/7/22,256,140.62
1/10/22,257,131.15
1/11/22,258,130.3
1/12/22,259,128.06
1/13/22,260,122.48
1/14/22,261,116.65
1/18/22,262,108.91
1/19/22,263,106.57
1/20/22,264,102.67
1/21/22,265,106.36
1/24/22,266,100.15
1/25/22,267,99.79
1/26/22,268,103.26
1/27/22,269,93.52
1/28/22,270,97.91
1/31/22,271,108.93
2/1/22,272,112.6
2/2/22,273,100.04
2/3/22,274,99.23
2/4/22,275,102.34
2/7/22,276,102.34
2/8/22,277,115.6
2/9/22,278,124.29
2/10/22,279,122.47
2/11/22,280,124.25
2/14/22,281,117.09
2/15/22,282,126.16
2/16/22,283,128.33
2/17/22,284,123.41
2/18/22,285,121.53
2/22/22,286,118.06
2/23/22,287,114.87
2/24/22,288,124.58
2/25/22,289,118.58
2/28/22,290,123.34
3/1/22,291,119.02
3/2/22,292,121.97
3/3/22,293,118.41
3/4/22,294,111.66
3/7/22,295,99.35
3/8/22,296,103.01
3/9/22,297,105.21
3/10/22,298,100.56
3/11/22,299,92.69
3/14/22,300,78.11
3/15/22,301,82.64
3/16/22,302,86.86
3/17/22,303,87.7
3/18/22,304,90.79
3/21/22,305,94.2
3/22/22,306,123.14
3/23/22,307,141
3/24/22,308,142.39
3/25/22,309,151.95
3/28/22,310,189.59
3/29/22,311,179.9
3/30/22,312,166.85
3/31/22,313,166.58