season,team,wins,losses,games,wpct,scored,allowed,close_wins,close_losses,close_games,close_wpct
2018,Philadelphia Eagles,9,7,16,0.5625,367,348,6,6,12,0.5
2018,Miami Dolphins,7,9,16,0.4375,319,433,7,1,8,0.875
2018,New England Patriots,11,5,16,0.6875,436,325,3,2,5,0.6
2018,New Orleans Saints,13,3,16,0.8125,504,353,5,2,7,0.714285714
2018,Minnesota Vikings,8.5,7.5,16,0.53125,360,341,3.5,2.5,6,0.583333333
2018,Cleveland Browns,7.5,8.5,16,0.46875,359,392,5.5,4.5,10,0.55
2018,New York Giants,5,11,16,0.3125,369,412,4,8,12,0.333333333
2018,Indianapolis Colts,10,6,16,0.625,433,344,4,4,8,0.5
2018,Baltimore Ravens,10,6,16,0.625,389,287,3,4,7,0.428571429
2018,Los Angeles Chargers,12,4,16,0.75,428,329,6,1,7,0.857142857
2018,Carolina Panthers,7,9,16,0.4375,376,382,3,7,10,0.3
2018,Arizona Cardinals,3,13,16,0.1875,225,425,2,4,6,0.333333333
2018,Denver Broncos,6,10,16,0.375,329,349,4,6,10,0.4
2018,Green Bay Packers,6.5,9.5,16,0.40625,376,400,3.5,6.5,10,0.35
2018,Detroit Lions,6,10,16,0.375,324,360,2,4,6,0.333333333
2018,Las Vegas Raiders,4,12,16,0.25,290,467,3,3,6,0.5
2018,Cincinnati Bengals,6,10,16,0.375,368,455,2,5,7,0.285714286
2018,Tennessee Titans,9,7,16,0.5625,310,303,4,3,7,0.571428571
2018,Atlanta Falcons,7,9,16,0.4375,414,423,4,4,8,0.5
2018,Washington Commanders,7,9,16,0.4375,281,359,4,2,6,0.666666667
2018,Tampa Bay Buccaneers,5,11,16,0.3125,396,464,4,7,11,0.363636364
2018,Pittsburgh Steelers,9.5,6.5,16,0.59375,428,360,6.5,5.5,12,0.541666667
2018,Buffalo Bills,6,10,16,0.375,269,374,3,3,6,0.5
2018,New York Jets,4,12,16,0.25,333,441,2,6,8,0.25
2018,San Francisco 49ers,4,12,16,0.25,342,435,3,6,9,0.333333333
2018,Los Angeles Rams,13,3,16,0.8125,527,384,6,1,7,0.857142857
2018,Jacksonville Jaguars,5,11,16,0.3125,245,316,2,6,8,0.25
2018,Dallas Cowboys,10,6,16,0.625,339,324,9,3,12,0.75
2018,Chicago Bears,12,4,16,0.75,421,283,6,4,10,0.6
2018,Houston Texans,11,5,16,0.6875,402,316,6,5,11,0.545454545
2018,Kansas City Chiefs,12,4,16,0.75,565,421,5,4,9,0.555555556
2018,Seattle Seahawks,10,6,16,0.625,428,347,5,6,11,0.454545455
2019,Chicago Bears,8,8,16,0.5,280,298,6,5,11,0.545454545
2019,Minnesota Vikings,10,6,16,0.625,407,303,2,4,6,0.333333333
2019,Miami Dolphins,5,11,16,0.3125,306,494,5,2,7,0.714285714
2019,New York Jets,7,9,16,0.4375,276,359,5,2,7,0.714285714
2019,Jacksonville Jaguars,6,10,16,0.375,300,397,2,3,5,0.4
2019,Carolina Panthers,5,11,16,0.3125,340,470,2,6,8,0.25
2019,Cleveland Browns,6,10,16,0.375,335,393,2,4,6,0.333333333
2019,Philadelphia Eagles,9,7,16,0.5625,385,354,5,5,10,0.5
2019,Seattle Seahawks,11,5,16,0.6875,405,398,10,2,12,0.833333333
2019,Arizona Cardinals,5.5,10.5,16,0.34375,361,442,3.5,5.5,9,0.388888889
2019,Los Angeles Chargers,5,11,16,0.3125,337,345,2,9,11,0.181818182
2019,Dallas Cowboys,8,8,16,0.5,434,321,1,6,7,0.142857143
2019,Tampa Bay Buccaneers,7,9,16,0.4375,458,449,3,6,9,0.333333333
2019,New England Patriots,12,4,16,0.75,420,225,4,3,7,0.571428571
2019,New Orleans Saints,13,3,16,0.8125,458,341,7,1,8,0.875
2019,Las Vegas Raiders,7,9,16,0.4375,313,419,7,3,10,0.7
2019,Baltimore Ravens,14,2,16,0.875,531,282,5,1,6,0.833333333
2019,New York Giants,4,12,16,0.25,341,451,2,5,7,0.285714286
2019,Washington Commanders,3,13,16,0.1875,266,435,3,3,6,0.5
2019,Tennessee Titans,9,7,16,0.5625,402,331,3,3,6,0.5
2019,Detroit Lions,3.5,12.5,16,0.21875,341,423,3.5,8.5,12,0.291666667
2019,Green Bay Packers,13,3,16,0.8125,376,313,8,1,9,0.888888889
2019,Houston Texans,10,6,16,0.625,378,385,8,3,11,0.727272727
2019,Cincinnati Bengals,2,14,16,0.125,279,420,0,8,8,0
2019,Pittsburgh Steelers,8,8,16,0.5,289,303,6,5,11,0.545454545
2019,Denver Broncos,7,9,16,0.4375,282,316,4,5,9,0.444444444
2019,Los Angeles Rams,9,7,16,0.5625,394,364,3,3,6,0.5
2019,Atlanta Falcons,7,9,16,0.4375,381,399,3,4,7,0.428571429
2019,Indianapolis Colts,7,9,16,0.4375,361,373,5,6,11,0.454545455
2019,Kansas City Chiefs,12,4,16,0.75,451,308,5,4,9,0.555555556
2019,Buffalo Bills,10,6,16,0.625,314,259,4,5,9,0.444444444
2019,San Francisco 49ers,13,3,16,0.8125,479,310,5,3,8,0.625
2020,Kansas City Chiefs,14,2,16,0.875,473,362,8,1,9,0.888888889
2020,Detroit Lions,5,11,16,0.3125,377,519,4,4,8,0.5
2020,Baltimore Ravens,11,5,16,0.6875,468,303,2,4,6,0.333333333
2020,Minnesota Vikings,7,9,16,0.4375,430,475,6,4,10,0.6
2020,Jacksonville Jaguars,1,15,16,0.0625,306,492,1,6,7,0.142857143
2020,Carolina Panthers,5,11,16,0.3125,350,402,3,8,11,0.272727273
2020,New England Patriots,7,9,16,0.4375,326,353,3,4,7,0.428571429
2020,Buffalo Bills,13,3,16,0.8125,501,375,5,1,6,0.833333333
2020,Washington Commanders,7,9,16,0.4375,335,329,3,5,8,0.375
2020,Atlanta Falcons,4,12,16,0.25,396,414,2,8,10,0.2
2020,San Francisco 49ers,6,10,16,0.375,376,390,3,5,8,0.375
2020,Cincinnati Bengals,4.5,11.5,16,0.28125,311,424,2.5,5.5,8,0.3125
2020,New Orleans Saints,12,4,16,0.75,482,337,5,3,8,0.625
2020,Los Angeles Rams,10,6,16,0.625,372,296,4,4,8,0.5
2020,New York Giants,6,10,16,0.375,280,357,5,5,10,0.5
2020,Denver Broncos,5,11,16,0.3125,323,446,4,6,10,0.4
2020,Cleveland Browns,11,5,16,0.6875,408,419,7,2,9,0.777777778
2020,Dallas Cowboys,6,10,16,0.375,395,473,4,4,8,0.5
2020,Miami Dolphins,10,6,16,0.625,404,338,3,4,7,0.428571429
2020,Tampa Bay Buccaneers,11,5,16,0.6875,492,355,3,3,6,0.5
2020,Pittsburgh Steelers,12,4,16,0.75,416,312,7,2,9,0.777777778
2020,Green Bay Packers,13,3,16,0.8125,509,369,4,2,6,0.666666667
2020,Tennessee Titans,11,5,16,0.6875,491,439,7,2,9,0.777777778
2020,Philadelphia Eagles,4.5,11.5,16,0.28125,334,418,3.5,5.5,9,0.388888889
2020,Indianapolis Colts,11,5,16,0.6875,451,362,5,2,7,0.714285714
2020,Chicago Bears,8,8,16,0.5,372,370,6,5,11,0.545454545
2020,New York Jets,2,14,16,0.125,243,457,2,4,6,0.333333333
2020,Houston Texans,4,12,16,0.25,384,464,2,8,10,0.2
2020,Los Angeles Chargers,7,9,16,0.4375,384,426,5,7,12,0.416666667
2020,Arizona Cardinals,8,8,16,0.5,410,367,4,5,9,0.444444444
2020,Seattle Seahawks,12,4,16,0.75,459,371,8,3,11,0.727272727
2020,Las Vegas Raiders,8,8,16,0.5,434,478,5,4,9,0.555555556
2021,Tampa Bay Buccaneers,13,4,17,0.764705882,511,353,6,0,6,1
2021,Tennessee Titans,12,5,17,0.705882353,419,354,6,2,8,0.75
2021,Houston Texans,4,13,17,0.235294118,280,452,0,4,4,0
2021,Washington Commanders,7,10,17,0.411764706,335,434,5,4,9,0.555555556
2021,Cincinnati Bengals,10,7,17,0.588235294,460,376,4,5,9,0.444444444
2021,Carolina Panthers,5,12,17,0.294117647,304,404,2,6,8,0.25
2021,Atlanta Falcons,7,10,17,0.411764706,313,459,7,2,9,0.777777778
2021,Buffalo Bills,11,6,17,0.647058824,483,289,0,5,5,0
2021,Detroit Lions,3.5,13.5,17,0.205882353,325,467,2.5,6.5,9,0.277777778
2021,Indianapolis Colts,9,8,17,0.529411765,451,365,2,5,7,0.285714286
2021,Kansas City Chiefs,12,5,17,0.705882353,480,364,5,3,8,0.625
2021,New York Giants,4,13,17,0.235294118,258,416,3,3,6,0.5
2021,New Orleans Saints,9,8,17,0.529411765,364,335,2,3,5,0.4
2021,New England Patriots,10,7,17,0.588235294,462,303,3,3,6,0.5
2021,Los Angeles Rams,12,5,17,0.705882353,460,372,4,2,6,0.666666667
2021,Las Vegas Raiders,10,7,17,0.588235294,374,439,7,2,9,0.777777778
2021,Miami Dolphins,9,8,17,0.529411765,341,373,4,3,7,0.571428571
2021,Chicago Bears,6,11,17,0.352941176,311,407,3,3,6,0.5
2021,Jacksonville Jaguars,3,14,17,0.176470588,253,457,2,4,6,0.333333333
2021,Cleveland Browns,8,9,17,0.470588235,349,371,5,6,11,0.454545455
2021,Pittsburgh Steelers,9.5,7.5,17,0.558823529,343,398,8.5,2.5,11,0.772727273
2021,New York Jets,4,13,17,0.235294118,310,504,4,5,9,0.444444444
2021,Philadelphia Eagles,9,8,17,0.529411765,444,385,2,4,6,0.333333333
2021,Los Angeles Chargers,9,8,17,0.529411765,474,459,5,5,10,0.5
2021,Arizona Cardinals,11,6,17,0.647058824,449,366,3,4,7,0.428571429
2021,Seattle Seahawks,7,10,17,0.411764706,395,366,3,5,8,0.375
2021,Baltimore Ravens,8,9,17,0.470588235,387,392,6,6,12,0.5
2021,Green Bay Packers,13,4,17,0.764705882,450,371,6,3,9,0.666666667
2021,Denver Broncos,7,10,17,0.411764706,335,322,1,5,6,0.166666667
2021,Minnesota Vikings,8,9,17,0.470588235,425,426,6,8,14,0.428571429
2021,San Francisco 49ers,10,7,17,0.588235294,427,365,5,5,10,0.5
2021,Dallas Cowboys,12,5,17,0.705882353,530,358,5,3,8,0.625
2022,Los Angeles Rams,5,12,17,0.294117647,307,384,3,4,7,0.428571429
2022,New York Jets,7,10,17,0.411764706,296,314,4,6,10,0.4
2022,Carolina Panthers,7,10,17,0.411764706,347,374,3,5,8,0.375
2022,Houston Texans,3.5,13.5,17,0.205882353,289,420,3.5,6.5,10,0.35
2022,Washington Commanders,7.5,9.5,17,0.441176471,301,363,5.5,3.5,9,0.611111111
2022,Miami Dolphins,9,8,17,0.529411765,395,399,6,5,11,0.545454545
2022,Atlanta Falcons,7,10,17,0.411764706,365,386,5,8,13,0.384615385
2022,Cincinnati Bengals,12,4,16,0.75,418,322,5,3,8,0.625
2022,Detroit Lions,9,8,17,0.529411765,453,427,4,5,9,0.444444444
2022,Chicago Bears,3,14,17,0.176470588,326,463,1,7,8,0.125
2022,Minnesota Vikings,13,4,17,0.764705882,424,427,11,0,11,1
2022,Arizona Cardinals,4,13,17,0.235294118,340,449,2,6,8,0.25
2022,Los Angeles Chargers,10,7,17,0.588235294,391,384,7,5,12,0.583333333
2022,Tennessee Titans,7,10,17,0.411764706,298,359,5,6,11,0.454545455
2022,Dallas Cowboys,13,4,17,0.764705882,487,322,5,2,7,0.714285714
2022,Seattle Seahawks,9,8,17,0.529411765,407,401,4,6,10,0.4
2022,Kansas City Chiefs,14,3,17,0.823529412,496,369,7,3,10,0.7
2022,New York Giants,9.5,7.5,17,0.558823529,365,371,8.5,4.5,13,0.653846154
2022,Jacksonville Jaguars,9,8,17,0.529411765,404,350,4,6,10,0.4
2022,Baltimore Ravens,10,7,17,0.588235294,350,315,6,5,11,0.545454545
2022,Pittsburgh Steelers,9,8,17,0.529411765,308,346,7,5,12,0.583333333
2022,Cleveland Browns,7,10,17,0.411764706,361,381,2,6,8,0.25
2022,New Orleans Saints,7,10,17,0.411764706,330,345,5,6,11,0.454545455
2022,Las Vegas Raiders,6,11,17,0.352941176,395,420,4,9,13,0.307692308
2022,Denver Broncos,5,12,17,0.294117647,287,359,4,9,13,0.307692308
2022,San Francisco 49ers,13,4,17,0.764705882,450,277,3,1,4,0.75
2022,Green Bay Packers,8,9,17,0.470588235,370,371,4,5,9,0.444444444
2022,Buffalo Bills,13,3,16,0.8125,455,286,6,3,9,0.666666667
2022,Philadelphia Eagles,14,3,17,0.823529412,477,344,7,1,8,0.875
2022,New England Patriots,8,9,17,0.470588235,364,347,4,4,8,0.5
2022,Indianapolis Colts,4.5,12.5,17,0.264705882,291,427,4.5,6.5,11,0.409090909
2022,Tampa Bay Buccaneers,8,9,17,0.470588235,313,358,6,4,10,0.6