team,division,conference,rating,inaugural_season
Oldham Athletic,EPL,EPL,1500,1992
Sheffield United,EPL,EPL,1500,1992
Ipswich Town,EPL,EPL,1500,1992
Nottingham Forest,EPL,EPL,1500,1992
Queens Park Rangers,EPL,EPL,1500,1992
Sheffield Wednesday,EPL,EPL,1500,1992
Coventry City,EPL,EPL,1500,1992
Norwich City,EPL,EPL,1500,1992
Crystal Palace,EPL,EPL,1500,1992
Middlesbrough FC,EPL,EPL,1500,1992
Leeds United,EPL,EPL,1500,1992
Blackburn Rovers,EPL,EPL,1500,1992
Southampton FC,EPL,EPL,1500,1992
Manchester City,EPL,EPL,1500,1992
Aston Villa,EPL,EPL,1500,1992
Arsenal FC,EPL,EPL,1500,1992
Chelsea FC,EPL,EPL,1500,1992
Everton FC,EPL,EPL,1500,1992
Liverpool FC,EPL,EPL,1500,1992
Manchester United,EPL,EPL,1500,1992
Tottenham Hotspur,EPL,EPL,1500,1992
Barnsley FC,EPL,EPL,1400,1992
Swindon Town,EPL,EPL,1400,1992
Brentford FC,EPL,EPL,1400,1992
Birmingham City,EPL,EPL,1400,1992
Derby County,EPL,EPL,1400,1992
Portsmouth FC,EPL,EPL,1400,1992
Charlton Athletic,EPL,EPL,1400,1992
Watford FC,EPL,EPL,1400,1992
Wolverhampton Wanderers,EPL,EPL,1400,1992
Sunderland AFC,EPL,EPL,1400,1992
Leicester City,EPL,EPL,1400,1992
West Ham United,EPL,EPL,1400,1992
Newcastle United,EPL,EPL,1400,1992
Blackpool FC,EPL,EPL,1400,1999
Bradford City,EPL,EPL,1400,1996
Huddersfield Town,EPL,EPL,1400,1995
Reading FC,EPL,EPL,1400,1994
Hull City,EPL,EPL,1400,1999
AFC Bournemouth,EPL,EPL,1400,1999
Brighton & Hove Albion,EPL,EPL,1400,1999
Swansea City,EPL,EPL,1400,1999
Burnley FC,EPL,EPL,1400,1994
Wigan Athletic,EPL,EPL,1400,1999
Stoke City,EPL,EPL,1400,1993
Bolton Wanderers,EPL,EPL,1400,1993
West Bromwich Albion,EPL,EPL,1400,1993
Fulham FC,EPL,EPL,1400,1999
Cardiff City,EPL,EPL,1400,1999
AFC Wimbledon,EPL,EPL,1400,2011